Time,entry,Refuel_time,EDC,Cycle,variable,value
0.0,00,8min,50mM,00,C3,1.4410999999999998
0.15,00,8min,50mM,00,C3,1.7994999999999999
0.31666666666666665,00,8min,50mM,00,C3,1.8369
0.48333333333333334,00,8min,50mM,00,C3,1.8456
0.65,00,8min,50mM,00,C3,1.8406
0.8166666666666667,00,8min,50mM,00,C3,1.8342999999999998
0.9833333333333333,00,8min,50mM,00,C3,1.8276999999999999
1.15,00,8min,50mM,00,C3,1.8178999999999998
1.3166666666666667,00,8min,50mM,00,C3,1.8071
1.4833333333333334,00,8min,50mM,00,C3,1.7986
1.65,00,8min,50mM,00,C3,1.7875999999999999
1.8166666666666667,00,8min,50mM,00,C3,1.777
1.9833333333333334,00,8min,50mM,00,C3,1.7667
2.1333333333333333,00,8min,50mM,00,C3,1.7547
2.3,00,8min,50mM,00,C3,1.7423
2.466666666666667,00,8min,50mM,00,C3,1.73
2.6333333333333333,00,8min,50mM,00,C3,1.7158
2.8,00,8min,50mM,00,C3,1.7028999999999999
2.966666666666667,00,8min,50mM,00,C3,1.6868999999999998
3.1333333333333333,00,8min,50mM,00,C3,1.6709999999999998
3.3,00,8min,50mM,00,C3,1.6544999999999999
3.466666666666667,00,8min,50mM,00,C3,1.636
3.6333333333333333,00,8min,50mM,00,C3,1.6179
3.783333333333333,00,8min,50mM,00,C3,1.6005
3.95,00,8min,50mM,00,C3,1.5825
4.116666666666666,00,8min,50mM,00,C3,1.5639999999999998
4.283333333333333,00,8min,50mM,00,C3,1.5427
4.45,00,8min,50mM,00,C3,1.5188
4.616666666666666,00,8min,50mM,00,C3,1.4918
4.783333333333333,00,8min,50mM,00,C3,1.4658
4.95,00,8min,50mM,00,C3,1.4404
5.116666666666666,00,8min,50mM,00,C3,1.414
5.283333333333333,00,8min,50mM,00,C3,1.3797
5.45,00,8min,50mM,00,C3,1.3295
5.616666666666666,00,8min,50mM,00,C3,1.2582
5.783333333333333,00,8min,50mM,00,C3,1.1708999999999998
5.95,00,8min,50mM,00,C3,1.0718999999999999
6.116666666666666,00,8min,50mM,00,C3,0.9719000000000001
6.283333333333333,00,8min,50mM,00,C3,0.8775000000000001
6.45,00,8min,50mM,00,C3,0.7867000000000001
6.616666666666666,00,8min,50mM,00,C3,0.7102
6.766666666666667,00,8min,50mM,00,C3,0.643
6.933333333333334,00,8min,50mM,00,C3,0.5850000000000001
7.1,00,8min,50mM,00,C3,0.5405000000000001
7.266666666666667,00,8min,50mM,00,C3,0.5047
7.433333333333334,00,8min,50mM,00,C3,0.46559999999999996
7.6,00,8min,50mM,00,C3,0.431
7.766666666666667,00,8min,50mM,00,C3,0.40049999999999997
7.933333333333334,00,8min,50mM,00,C3,0.3724
0.0,00,8min,50mM,00,C4,1.4292
0.15,00,8min,50mM,00,C4,1.785
0.31666666666666665,00,8min,50mM,00,C4,1.8226
0.48333333333333334,00,8min,50mM,00,C4,1.8328
0.65,00,8min,50mM,00,C4,1.8317999999999999
0.8166666666666667,00,8min,50mM,00,C4,1.8284
0.9833333333333333,00,8min,50mM,00,C4,1.821
1.15,00,8min,50mM,00,C4,1.8129
1.3166666666666667,00,8min,50mM,00,C4,1.8051
1.4833333333333334,00,8min,50mM,00,C4,1.7975999999999999
1.65,00,8min,50mM,00,C4,1.789
1.8166666666666667,00,8min,50mM,00,C4,1.78
1.9833333333333334,00,8min,50mM,00,C4,1.7708
2.1333333333333333,00,8min,50mM,00,C4,1.7618
2.3,00,8min,50mM,00,C4,1.7522
2.466666666666667,00,8min,50mM,00,C4,1.7436
2.6333333333333333,00,8min,50mM,00,C4,1.7329999999999999
2.8,00,8min,50mM,00,C4,1.7235
2.966666666666667,00,8min,50mM,00,C4,1.7125
3.1333333333333333,00,8min,50mM,00,C4,1.7007999999999999
3.3,00,8min,50mM,00,C4,1.6884
3.466666666666667,00,8min,50mM,00,C4,1.6761
3.6333333333333333,00,8min,50mM,00,C4,1.6639
3.783333333333333,00,8min,50mM,00,C4,1.6499
3.95,00,8min,50mM,00,C4,1.636
4.116666666666666,00,8min,50mM,00,C4,1.6209
4.283333333333333,00,8min,50mM,00,C4,1.6048
4.45,00,8min,50mM,00,C4,1.5866
4.616666666666666,00,8min,50mM,00,C4,1.5695999999999999
4.783333333333333,00,8min,50mM,00,C4,1.5529
4.95,00,8min,50mM,00,C4,1.5375999999999999
5.116666666666666,00,8min,50mM,00,C4,1.5215999999999998
5.283333333333333,00,8min,50mM,00,C4,1.5065
5.45,00,8min,50mM,00,C4,1.4933999999999998
5.616666666666666,00,8min,50mM,00,C4,1.4823
5.783333333333333,00,8min,50mM,00,C4,1.4678
5.95,00,8min,50mM,00,C4,1.4433
6.116666666666666,00,8min,50mM,00,C4,1.399
6.283333333333333,00,8min,50mM,00,C4,1.3371
6.45,00,8min,50mM,00,C4,1.2510999999999999
6.616666666666666,00,8min,50mM,00,C4,1.1522999999999999
6.766666666666667,00,8min,50mM,00,C4,1.049
6.933333333333334,00,8min,50mM,00,C4,0.945
7.1,00,8min,50mM,00,C4,0.8448
7.266666666666667,00,8min,50mM,00,C4,0.7596
7.433333333333334,00,8min,50mM,00,C4,0.6858000000000001
7.6,00,8min,50mM,00,C4,0.624
7.766666666666667,00,8min,50mM,00,C4,0.5720000000000001
7.933333333333334,00,8min,50mM,00,C4,0.5196000000000001
8.0,00,8min,50mM,01,C3,0.35819999999999996
8.15,00,8min,50mM,01,C3,0.8044
8.316666666666666,00,8min,50mM,01,C3,0.8685
8.483333333333333,00,8min,50mM,01,C3,1.2891
8.65,00,8min,50mM,01,C3,1.4046999999999998
8.816666666666666,00,8min,50mM,01,C3,1.5294999999999999
8.983333333333333,00,8min,50mM,01,C3,1.6277
9.15,00,8min,50mM,01,C3,1.6507999999999998
9.316666666666666,00,8min,50mM,01,C3,1.6604999999999999
9.483333333333334,00,8min,50mM,01,C3,1.6706999999999999
9.65,00,8min,50mM,01,C3,1.6625999999999999
9.8,00,8min,50mM,01,C3,1.6317
9.966666666666667,00,8min,50mM,01,C3,1.6077
10.133333333333333,00,8min,50mM,01,C3,1.5922999999999998
10.3,00,8min,50mM,01,C3,1.5826
10.466666666666667,00,8min,50mM,01,C3,1.5775
10.633333333333333,00,8min,50mM,01,C3,1.573
10.8,00,8min,50mM,01,C3,1.5588
10.966666666666667,00,8min,50mM,01,C3,1.5366
11.133333333333333,00,8min,50mM,01,C3,1.4987
11.3,00,8min,50mM,01,C3,1.4698
11.466666666666667,00,8min,50mM,01,C3,1.4546
11.633333333333333,00,8min,50mM,01,C3,1.45
11.783333333333333,00,8min,50mM,01,C3,1.4324999999999999
11.95,00,8min,50mM,01,C3,1.4132
12.116666666666667,00,8min,50mM,01,C3,1.4177
12.283333333333333,00,8min,50mM,01,C3,1.4622
12.45,00,8min,50mM,01,C3,1.5131
12.616666666666667,00,8min,50mM,01,C3,1.5346
12.783333333333333,00,8min,50mM,01,C3,1.5176999999999998
12.95,00,8min,50mM,01,C3,1.4739
13.116666666666667,00,8min,50mM,01,C3,1.4358
13.283333333333333,00,8min,50mM,01,C3,1.3926999999999998
13.45,00,8min,50mM,01,C3,1.3711
13.616666666666667,00,8min,50mM,01,C3,1.3412
13.766666666666666,00,8min,50mM,01,C3,1.2883
13.933333333333334,00,8min,50mM,01,C3,1.2438
14.1,00,8min,50mM,01,C3,1.2278
14.266666666666666,00,8min,50mM,01,C3,1.184
14.433333333333334,00,8min,50mM,01,C3,1.1082999999999998
14.6,00,8min,50mM,01,C3,1.0668
14.766666666666666,00,8min,50mM,01,C3,1.0632
14.933333333333334,00,8min,50mM,01,C3,1.0292
15.1,00,8min,50mM,01,C3,0.985
15.266666666666666,00,8min,50mM,01,C3,0.9383
15.433333333333334,00,8min,50mM,01,C3,0.8604
15.6,00,8min,50mM,01,C3,0.7673000000000001
15.766666666666666,00,8min,50mM,01,C3,0.6772
15.933333333333334,00,8min,50mM,01,C3,0.6040000000000001
8.0,00,8min,50mM,01,C4,1.0505
8.15,00,8min,50mM,01,C4,1.5644
8.316666666666666,00,8min,50mM,01,C4,1.6939
8.483333333333333,00,8min,50mM,01,C4,1.7376
8.65,00,8min,50mM,01,C4,1.7407
8.816666666666666,00,8min,50mM,01,C4,1.7198
8.983333333333333,00,8min,50mM,01,C4,1.7028999999999999
9.15,00,8min,50mM,01,C4,1.6885
9.316666666666666,00,8min,50mM,01,C4,1.6894
9.483333333333334,00,8min,50mM,01,C4,1.6828999999999998
9.65,00,8min,50mM,01,C4,1.6621
9.8,00,8min,50mM,01,C4,1.6314
9.966666666666667,00,8min,50mM,01,C4,1.6149
10.133333333333333,00,8min,50mM,01,C4,1.5776
10.3,00,8min,50mM,01,C4,1.5319
10.466666666666667,00,8min,50mM,01,C4,1.4999
10.633333333333333,00,8min,50mM,01,C4,1.4798
10.8,00,8min,50mM,01,C4,1.4592999999999998
10.966666666666667,00,8min,50mM,01,C4,1.4453
11.133333333333333,00,8min,50mM,01,C4,1.4434
11.3,00,8min,50mM,01,C4,1.4419
11.466666666666667,00,8min,50mM,01,C4,1.4318
11.633333333333333,00,8min,50mM,01,C4,1.4086999999999998
11.783333333333333,00,8min,50mM,01,C4,1.3701999999999999
11.95,00,8min,50mM,01,C4,1.3067
12.116666666666667,00,8min,50mM,01,C4,1.2471999999999999
12.283333333333333,00,8min,50mM,01,C4,1.1962
12.45,00,8min,50mM,01,C4,1.1704999999999999
12.616666666666667,00,8min,50mM,01,C4,1.1523999999999999
12.783333333333333,00,8min,50mM,01,C4,1.1261999999999999
12.95,00,8min,50mM,01,C4,1.0933
13.116666666666667,00,8min,50mM,01,C4,1.0592
13.283333333333333,00,8min,50mM,01,C4,1.0324
13.45,00,8min,50mM,01,C4,1.0042
13.616666666666667,00,8min,50mM,01,C4,0.9695000000000001
13.766666666666666,00,8min,50mM,01,C4,0.9211000000000001
13.933333333333334,00,8min,50mM,01,C4,0.8659
14.1,00,8min,50mM,01,C4,0.8138000000000001
14.266666666666666,00,8min,50mM,01,C4,0.7622
14.433333333333334,00,8min,50mM,01,C4,0.7121000000000001
14.6,00,8min,50mM,01,C4,0.6622
14.766666666666666,00,8min,50mM,01,C4,0.6217
14.933333333333334,00,8min,50mM,01,C4,0.5804
15.1,00,8min,50mM,01,C4,0.5396000000000001
15.266666666666666,00,8min,50mM,01,C4,0.5009
15.433333333333334,00,8min,50mM,01,C4,0.46259999999999996
15.6,00,8min,50mM,01,C4,0.4279
15.766666666666666,00,8min,50mM,01,C4,0.3986
15.933333333333334,00,8min,50mM,01,C4,0.3715
16.0,00,8min,50mM,02,C3,0.7716000000000001
16.15,00,8min,50mM,02,C3,1.599
16.316666666666666,00,8min,50mM,02,C3,1.7051999999999998
16.483333333333334,00,8min,50mM,02,C3,1.7350999999999999
16.65,00,8min,50mM,02,C3,1.7354999999999998
16.816666666666666,00,8min,50mM,02,C3,1.7233999999999998
16.983333333333334,00,8min,50mM,02,C3,1.7057
17.15,00,8min,50mM,02,C3,1.6885999999999999
17.316666666666666,00,8min,50mM,02,C3,1.6716
17.483333333333334,00,8min,50mM,02,C3,1.6532
17.633333333333333,00,8min,50mM,02,C3,1.6352
17.8,00,8min,50mM,02,C3,1.6161999999999999
17.966666666666665,00,8min,50mM,02,C3,1.5983999999999998
18.133333333333333,00,8min,50mM,02,C3,1.583
18.3,00,8min,50mM,02,C3,1.5715999999999999
18.46666666666667,00,8min,50mM,02,C3,1.5618999999999998
18.633333333333333,00,8min,50mM,02,C3,1.549
18.8,00,8min,50mM,02,C3,1.5191
18.96666666666667,00,8min,50mM,02,C3,1.4757
19.133333333333333,00,8min,50mM,02,C3,1.4226999999999999
19.28333333333333,00,8min,50mM,02,C3,1.3716
19.46666666666667,00,8min,50mM,02,C3,1.3239999999999998
19.616666666666667,00,8min,50mM,02,C3,1.2687
19.78333333333333,00,8min,50mM,02,C3,1.2058
19.95,00,8min,50mM,02,C3,1.1402999999999999
20.116666666666667,00,8min,50mM,02,C3,1.0718999999999999
20.28333333333333,00,8min,50mM,02,C3,0.9988
20.45,00,8min,50mM,02,C3,0.9215000000000001
20.616666666666667,00,8min,50mM,02,C3,0.8523000000000001
20.78333333333333,00,8min,50mM,02,C3,0.7902
20.95,00,8min,50mM,02,C3,0.7344
21.116666666666667,00,8min,50mM,02,C3,0.6807000000000001
21.28333333333333,00,8min,50mM,02,C3,0.6284000000000001
21.45,00,8min,50mM,02,C3,0.5778000000000001
21.6,00,8min,50mM,02,C3,0.5384
21.766666666666666,00,8min,50mM,02,C3,0.5139
21.933333333333334,00,8min,50mM,02,C3,0.48069999999999996
22.1,00,8min,50mM,02,C3,0.44839999999999997
22.266666666666666,00,8min,50mM,02,C3,0.3998
22.433333333333334,00,8min,50mM,02,C3,0.3503
22.6,00,8min,50mM,02,C3,0.3041
22.766666666666666,00,8min,50mM,02,C3,0.263
22.933333333333334,00,8min,50mM,02,C3,0.2253
23.1,00,8min,50mM,02,C3,0.193
23.266666666666666,00,8min,50mM,02,C3,0.1659
23.433333333333334,00,8min,50mM,02,C3,0.1392
23.583333333333332,00,8min,50mM,02,C3,0.1176
23.75,00,8min,50mM,02,C3,0.0999
23.916666666666668,00,8min,50mM,02,C3,0.0841
24.083333333333336,00,8min,50mM,02,C3,0.07229999999999999
24.25,00,8min,50mM,02,C3,0.0624
24.416666666666664,00,8min,50mM,02,C3,0.055699999999999986
24.583333333333336,00,8min,50mM,02,C3,0.05070000000000001
24.75,00,8min,50mM,02,C3,0.04690000000000001
24.916666666666664,00,8min,50mM,02,C3,0.0432
25.083333333333336,00,8min,50mM,02,C3,0.0402
25.25,00,8min,50mM,02,C3,0.037599999999999995
25.416666666666664,00,8min,50mM,02,C3,0.036199999999999996
25.566666666666666,00,8min,50mM,02,C3,0.0345
25.75,00,8min,50mM,02,C3,0.03319999999999999
25.9,00,8min,50mM,02,C3,0.03269999999999999
26.066666666666666,00,8min,50mM,02,C3,0.03169999999999999
26.233333333333334,00,8min,50mM,02,C3,0.0314
26.4,00,8min,50mM,02,C3,0.030399999999999996
26.566666666666666,00,8min,50mM,02,C3,0.030200000000000005
26.733333333333334,00,8min,50mM,02,C3,0.029799999999999993
26.9,00,8min,50mM,02,C3,0.029399999999999996
27.066666666666666,00,8min,50mM,02,C3,0.029200000000000004
27.233333333333334,00,8min,50mM,02,C3,0.028799999999999992
27.4,00,8min,50mM,02,C3,0.028700000000000003
27.55,00,8min,50mM,02,C3,0.028499999999999998
27.71666666666667,00,8min,50mM,02,C3,0.028200000000000003
27.883333333333333,00,8min,50mM,02,C3,0.0281
28.05,00,8min,50mM,02,C3,0.0276
28.21666666666667,00,8min,50mM,02,C3,0.0276
28.383333333333333,00,8min,50mM,02,C3,0.027200000000000002
28.55,00,8min,50mM,02,C3,0.027300000000000005
28.71666666666667,00,8min,50mM,02,C3,0.027499999999999997
28.883333333333333,00,8min,50mM,02,C3,0.027300000000000005
29.05,00,8min,50mM,02,C3,0.0266
29.21666666666667,00,8min,50mM,02,C3,0.0266
29.383333333333333,00,8min,50mM,02,C3,0.025999999999999995
29.53333333333333,00,8min,50mM,02,C3,0.025800000000000003
29.7,00,8min,50mM,02,C3,0.025800000000000003
29.866666666666667,00,8min,50mM,02,C3,0.025499999999999995
30.03333333333333,00,8min,50mM,02,C3,0.024999999999999994
30.2,00,8min,50mM,02,C3,0.024999999999999994
30.366666666666667,00,8min,50mM,02,C3,0.024499999999999994
30.53333333333333,00,8min,50mM,02,C3,0.024400000000000005
30.7,00,8min,50mM,02,C3,0.024300000000000002
30.866666666666667,00,8min,50mM,02,C3,0.0242
31.03333333333333,00,8min,50mM,02,C3,0.0237
31.2,00,8min,50mM,02,C3,0.0233
31.366666666666667,00,8min,50mM,02,C3,0.023099999999999996
31.53333333333333,00,8min,50mM,02,C3,0.0223
31.7,00,8min,50mM,02,C3,0.022499999999999992
31.85,00,8min,50mM,02,C3,0.022099999999999995
32.016666666666666,00,8min,50mM,02,C3,0.021599999999999994
32.18333333333334,00,8min,50mM,02,C3,0.021500000000000005
32.35,00,8min,50mM,02,C3,0.021199999999999997
32.516666666666666,00,8min,50mM,02,C3,0.021000000000000005
32.68333333333334,00,8min,50mM,02,C3,0.021000000000000005
32.85,00,8min,50mM,02,C3,0.020699999999999996
33.016666666666666,00,8min,50mM,02,C3,0.020599999999999993
33.18333333333334,00,8min,50mM,02,C3,0.0203
33.35,00,8min,50mM,02,C3,0.020099999999999993
33.516666666666666,00,8min,50mM,02,C3,0.020099999999999993
