Time,entry,Refuel_time,EDC,Cycle,variable,value
33.66666666666667,00,8min,50mM,02,C3,0.019799999999999998
33.83333333333333,00,8min,50mM,02,C3,0.019500000000000003
34.0,00,8min,50mM,02,C3,0.019299999999999998
34.16666666666667,00,8min,50mM,02,C3,0.019500000000000003
34.33333333333333,00,8min,50mM,02,C3,0.019500000000000003
34.5,00,8min,50mM,02,C3,0.019699999999999995
34.66666666666667,00,8min,50mM,02,C3,0.019599999999999992
34.83333333333333,00,8min,50mM,02,C3,0.019199999999999995
35.0,00,8min,50mM,02,C3,0.019500000000000003
35.16666666666667,00,8min,50mM,02,C3,0.0194
35.33333333333333,00,8min,50mM,02,C3,0.019099999999999992
35.5,00,8min,50mM,02,C3,0.019099999999999992
35.66666666666667,00,8min,50mM,02,C3,0.018799999999999997
35.81666666666666,00,8min,50mM,02,C3,0.019500000000000003
35.983333333333334,00,8min,50mM,02,C3,0.0194
36.15,00,8min,50mM,02,C3,0.019199999999999995
36.31666666666666,00,8min,50mM,02,C3,0.019199999999999995
36.483333333333334,00,8min,50mM,02,C3,0.019099999999999992
36.65,00,8min,50mM,02,C3,0.0194
36.81666666666666,00,8min,50mM,02,C3,0.019299999999999998
36.983333333333334,00,8min,50mM,02,C3,0.018799999999999997
37.15,00,8min,50mM,02,C3,0.0194
37.31666666666666,00,8min,50mM,02,C3,0.019599999999999992
37.483333333333334,00,8min,50mM,02,C3,0.019299999999999998
37.65,00,8min,50mM,02,C3,0.019199999999999995
37.8,00,8min,50mM,02,C3,0.019099999999999992
37.983333333333334,00,8min,50mM,02,C3,0.019000000000000003
38.13333333333333,00,8min,50mM,02,C3,0.019099999999999992
38.3,00,8min,50mM,02,C3,0.019000000000000003
38.46666666666667,00,8min,50mM,02,C3,0.0189
38.63333333333333,00,8min,50mM,02,C3,0.019199999999999995
38.8,00,8min,50mM,02,C3,0.019000000000000003
38.96666666666667,00,8min,50mM,02,C3,0.019199999999999995
39.13333333333333,00,8min,50mM,02,C3,0.0194
39.3,00,8min,50mM,02,C3,0.019099999999999992
39.46666666666667,00,8min,50mM,02,C3,0.018699999999999994
39.63333333333333,00,8min,50mM,02,C3,0.0184
39.8,00,8min,50mM,02,C3,0.01859999999999999
39.96666666666667,00,8min,50mM,02,C3,0.018500000000000003
40.11666666666667,00,8min,50mM,02,C3,0.01859999999999999
40.28333333333333,00,8min,50mM,02,C3,0.019199999999999995
40.45,00,8min,50mM,02,C3,0.018699999999999994
40.63333333333333,00,8min,50mM,02,C3,0.01859999999999999
40.8,00,8min,50mM,02,C3,0.01859999999999999
40.96666666666667,00,8min,50mM,02,C3,0.0184
41.13333333333333,00,8min,50mM,02,C3,0.018199999999999994
41.3,00,8min,50mM,02,C3,0.01859999999999999
41.45,00,8min,50mM,02,C3,0.018100000000000005
41.61666666666667,00,8min,50mM,02,C3,0.018500000000000003
41.78333333333333,00,8min,50mM,02,C3,0.01859999999999999
41.95,00,8min,50mM,02,C3,0.0184
42.11666666666667,00,8min,50mM,02,C3,0.018799999999999997
42.28333333333333,00,8min,50mM,02,C3,0.01859999999999999
42.45,00,8min,50mM,02,C3,0.018699999999999994
42.61666666666667,00,8min,50mM,02,C3,0.019099999999999992
42.78333333333333,00,8min,50mM,02,C3,0.018799999999999997
42.95,00,8min,50mM,02,C3,0.0189
43.11666666666667,00,8min,50mM,02,C3,0.01859999999999999
43.266666666666666,00,8min,50mM,02,C3,0.0189
43.43333333333334,00,8min,50mM,02,C3,0.019299999999999998
43.6,00,8min,50mM,02,C3,0.019000000000000003
43.766666666666666,00,8min,50mM,02,C3,0.018799999999999997
43.93333333333334,00,8min,50mM,02,C3,0.019299999999999998
44.1,00,8min,50mM,02,C3,0.0194
44.266666666666666,00,8min,50mM,02,C3,0.0189
44.43333333333334,00,8min,50mM,02,C3,0.019299999999999998
44.6,00,8min,50mM,02,C3,0.019299999999999998
44.75,00,8min,50mM,02,C3,0.019199999999999995
44.91666666666667,00,8min,50mM,02,C3,0.019000000000000003
45.08333333333333,00,8min,50mM,02,C3,0.0194
45.25,00,8min,50mM,02,C3,0.0194
45.41666666666667,00,8min,50mM,02,C3,0.019099999999999992
45.58333333333333,00,8min,50mM,02,C3,0.0194
45.766666666666666,00,8min,50mM,02,C3,0.019299999999999998
45.93333333333334,00,8min,50mM,02,C3,0.019000000000000003
46.1,00,8min,50mM,02,C3,0.019199999999999995
46.266666666666666,00,8min,50mM,02,C3,0.019299999999999998
46.41666666666667,00,8min,50mM,02,C3,0.018699999999999994
46.58333333333333,00,8min,50mM,02,C3,0.019000000000000003
46.71666666666667,00,8min,50mM,02,C3,0.01859999999999999
46.88333333333333,00,8min,50mM,02,C3,0.01859999999999999
47.05,00,8min,50mM,02,C3,0.01859999999999999
47.21666666666667,00,8min,50mM,02,C3,0.018699999999999994
47.38333333333333,00,8min,50mM,02,C3,0.01859999999999999
47.55,00,8min,50mM,02,C3,0.018299999999999997
47.71666666666667,00,8min,50mM,02,C3,0.0184
16.0,00,8min,50mM,02,C4,0.8009000000000001
16.15,00,8min,50mM,02,C4,1.6159999999999999
16.316666666666666,00,8min,50mM,02,C4,1.6903
16.483333333333334,00,8min,50mM,02,C4,1.6928999999999998
16.65,00,8min,50mM,02,C4,1.6804
16.816666666666666,00,8min,50mM,02,C4,1.6885
16.983333333333334,00,8min,50mM,02,C4,1.6764
17.15,00,8min,50mM,02,C4,1.6714
17.316666666666666,00,8min,50mM,02,C4,1.6612
17.483333333333334,00,8min,50mM,02,C4,1.6519
17.633333333333333,00,8min,50mM,02,C4,1.6486999999999998
17.8,00,8min,50mM,02,C4,1.6384999999999998
17.966666666666665,00,8min,50mM,02,C4,1.6177
18.133333333333333,00,8min,50mM,02,C4,1.5944
18.3,00,8min,50mM,02,C4,1.5734
18.46666666666667,00,8min,50mM,02,C4,1.5532
18.633333333333333,00,8min,50mM,02,C4,1.5299
18.8,00,8min,50mM,02,C4,1.4992999999999999
18.96666666666667,00,8min,50mM,02,C4,1.4608999999999999
19.133333333333333,00,8min,50mM,02,C4,1.42
19.28333333333333,00,8min,50mM,02,C4,1.3691
19.46666666666667,00,8min,50mM,02,C4,1.3147
19.616666666666667,00,8min,50mM,02,C4,1.2542
19.78333333333333,00,8min,50mM,02,C4,1.1897
19.95,00,8min,50mM,02,C4,1.1180999999999999
20.116666666666667,00,8min,50mM,02,C4,1.0502
20.28333333333333,00,8min,50mM,02,C4,0.9822000000000001
20.45,00,8min,50mM,02,C4,0.9142
20.616666666666667,00,8min,50mM,02,C4,0.8429000000000001
20.78333333333333,00,8min,50mM,02,C4,0.7662
20.95,00,8min,50mM,02,C4,0.6818000000000001
21.116666666666667,00,8min,50mM,02,C4,0.5999
21.28333333333333,00,8min,50mM,02,C4,0.5241
21.45,00,8min,50mM,02,C4,0.4583
21.6,00,8min,50mM,02,C4,0.4117
21.766666666666666,00,8min,50mM,02,C4,0.3721
21.933333333333334,00,8min,50mM,02,C4,0.33399999999999996
22.1,00,8min,50mM,02,C4,0.30569999999999997
22.266666666666666,00,8min,50mM,02,C4,0.2847
22.433333333333334,00,8min,50mM,02,C4,0.2708
22.6,00,8min,50mM,02,C4,0.2578
22.766666666666666,00,8min,50mM,02,C4,0.23969999999999997
22.933333333333334,00,8min,50mM,02,C4,0.21649999999999997
23.1,00,8min,50mM,02,C4,0.195
23.266666666666666,00,8min,50mM,02,C4,0.1758
23.433333333333334,00,8min,50mM,02,C4,0.15799999999999997
23.583333333333332,00,8min,50mM,02,C4,0.14450000000000002
23.75,00,8min,50mM,02,C4,0.13079999999999997
23.916666666666668,00,8min,50mM,02,C4,0.12000000000000001
24.083333333333336,00,8min,50mM,02,C4,0.1108
24.25,00,8min,50mM,02,C4,0.1029
24.416666666666664,00,8min,50mM,02,C4,0.09630000000000001
24.583333333333336,00,8min,50mM,02,C4,0.09019999999999999
24.75,00,8min,50mM,02,C4,0.0848
24.916666666666664,00,8min,50mM,02,C4,0.0792
25.083333333333336,00,8min,50mM,02,C4,0.07379999999999999
25.25,00,8min,50mM,02,C4,0.06910000000000001
25.416666666666664,00,8min,50mM,02,C4,0.06499999999999999
25.566666666666666,00,8min,50mM,02,C4,0.06130000000000001
25.75,00,8min,50mM,02,C4,0.05700000000000001
25.9,00,8min,50mM,02,C4,0.054599999999999996
26.066666666666666,00,8min,50mM,02,C4,0.0518
26.233333333333334,00,8min,50mM,02,C4,0.0498
26.4,00,8min,50mM,02,C4,0.048
26.566666666666666,00,8min,50mM,02,C4,0.04540000000000001
26.733333333333334,00,8min,50mM,02,C4,0.043899999999999995
26.9,00,8min,50mM,02,C4,0.0422
27.066666666666666,00,8min,50mM,02,C4,0.04039999999999999
27.233333333333334,00,8min,50mM,02,C4,0.0403
27.4,00,8min,50mM,02,C4,0.038599999999999995
27.55,00,8min,50mM,02,C4,0.0369
27.71666666666667,00,8min,50mM,02,C4,0.036500000000000005
27.883333333333333,00,8min,50mM,02,C4,0.0354
28.05,00,8min,50mM,02,C4,0.0345
28.21666666666667,00,8min,50mM,02,C4,0.0345
28.383333333333333,00,8min,50mM,02,C4,0.03459999999999999
28.55,00,8min,50mM,02,C4,0.03409999999999999
28.71666666666667,00,8min,50mM,02,C4,0.033699999999999994
28.883333333333333,00,8min,50mM,02,C4,0.03319999999999999
29.05,00,8min,50mM,02,C4,0.03269999999999999
29.21666666666667,00,8min,50mM,02,C4,0.032799999999999996
29.383333333333333,00,8min,50mM,02,C4,0.03219999999999999
29.53333333333333,00,8min,50mM,02,C4,0.032
29.7,00,8min,50mM,02,C4,0.03169999999999999
29.866666666666667,00,8min,50mM,02,C4,0.03119999999999999
30.03333333333333,00,8min,50mM,02,C4,0.031
30.2,00,8min,50mM,02,C4,0.030700000000000005
30.366666666666667,00,8min,50mM,02,C4,0.030399999999999996
30.53333333333333,00,8min,50mM,02,C4,0.030100000000000002
30.7,00,8min,50mM,02,C4,0.030200000000000005
30.866666666666667,00,8min,50mM,02,C4,0.029399999999999996
31.03333333333333,00,8min,50mM,02,C4,0.028999999999999998
31.2,00,8min,50mM,02,C4,0.028799999999999992
31.366666666666667,00,8min,50mM,02,C4,0.028499999999999998
31.53333333333333,00,8min,50mM,02,C4,0.027999999999999997
31.7,00,8min,50mM,02,C4,0.027700000000000002
31.85,00,8min,50mM,02,C4,0.0276
32.016666666666666,00,8min,50mM,02,C4,0.027200000000000002
32.18333333333334,00,8min,50mM,02,C4,0.0267
32.35,00,8min,50mM,02,C4,0.026399999999999993
32.516666666666666,00,8min,50mM,02,C4,0.025999999999999995
32.68333333333334,00,8min,50mM,02,C4,0.025300000000000003
32.85,00,8min,50mM,02,C4,0.02489999999999999
33.016666666666666,00,8min,50mM,02,C4,0.024499999999999994
33.18333333333334,00,8min,50mM,02,C4,0.023599999999999996
33.35,00,8min,50mM,02,C4,0.0233
33.516666666666666,00,8min,50mM,02,C4,0.023400000000000004
33.66666666666667,00,8min,50mM,02,C4,0.023400000000000004
33.83333333333333,00,8min,50mM,02,C4,0.022900000000000004
34.0,00,8min,50mM,02,C4,0.0228
34.16666666666667,00,8min,50mM,02,C4,0.021999999999999992
34.33333333333333,00,8min,50mM,02,C4,0.0218
34.5,00,8min,50mM,02,C4,0.021699999999999997
34.66666666666667,00,8min,50mM,02,C4,0.021500000000000005
34.83333333333333,00,8min,50mM,02,C4,0.0213
35.0,00,8min,50mM,02,C4,0.021099999999999994
35.16666666666667,00,8min,50mM,02,C4,0.0208
35.33333333333333,00,8min,50mM,02,C4,0.0203
35.5,00,8min,50mM,02,C4,0.020199999999999996
35.66666666666667,00,8min,50mM,02,C4,0.020099999999999993
35.81666666666666,00,8min,50mM,02,C4,0.019799999999999998
35.983333333333334,00,8min,50mM,02,C4,0.0194
36.15,00,8min,50mM,02,C4,0.019199999999999995
36.31666666666666,00,8min,50mM,02,C4,0.019000000000000003
36.483333333333334,00,8min,50mM,02,C4,0.019099999999999992
36.65,00,8min,50mM,02,C4,0.018699999999999994
36.81666666666666,00,8min,50mM,02,C4,0.01859999999999999
36.983333333333334,00,8min,50mM,02,C4,0.01859999999999999
37.15,00,8min,50mM,02,C4,0.018000000000000002
37.31666666666666,00,8min,50mM,02,C4,0.018000000000000002
37.483333333333334,00,8min,50mM,02,C4,0.0179
37.65,00,8min,50mM,02,C4,0.017799999999999996
37.8,00,8min,50mM,02,C4,0.017799999999999996
37.983333333333334,00,8min,50mM,02,C4,0.0175
38.13333333333333,00,8min,50mM,02,C4,0.017699999999999994
38.3,00,8min,50mM,02,C4,0.0179
38.46666666666667,00,8min,50mM,02,C4,0.0175
38.63333333333333,00,8min,50mM,02,C4,0.0175
38.8,00,8min,50mM,02,C4,0.0174
38.96666666666667,00,8min,50mM,02,C4,0.0174
39.13333333333333,00,8min,50mM,02,C4,0.0175
39.3,00,8min,50mM,02,C4,0.017600000000000005
39.46666666666667,00,8min,50mM,02,C4,0.0174
39.63333333333333,00,8min,50mM,02,C4,0.0174
39.8,00,8min,50mM,02,C4,0.017299999999999996
39.96666666666667,00,8min,50mM,02,C4,0.017100000000000004
40.11666666666667,00,8min,50mM,02,C4,0.017100000000000004
40.28333333333333,00,8min,50mM,02,C4,0.0169
40.45,00,8min,50mM,02,C4,0.017
40.63333333333333,00,8min,50mM,02,C4,0.016799999999999995
40.8,00,8min,50mM,02,C4,0.016799999999999995
40.96666666666667,00,8min,50mM,02,C4,0.016600000000000004
41.13333333333333,00,8min,50mM,02,C4,0.0165
41.3,00,8min,50mM,02,C4,0.016600000000000004
41.45,00,8min,50mM,02,C4,0.016699999999999993
41.61666666666667,00,8min,50mM,02,C4,0.016600000000000004
41.78333333333333,00,8min,50mM,02,C4,0.016799999999999995
41.95,00,8min,50mM,02,C4,0.016799999999999995
42.11666666666667,00,8min,50mM,02,C4,0.016699999999999993
42.28333333333333,00,8min,50mM,02,C4,0.016399999999999998
42.45,00,8min,50mM,02,C4,0.016399999999999998
42.61666666666667,00,8min,50mM,02,C4,0.016399999999999998
42.78333333333333,00,8min,50mM,02,C4,0.016600000000000004
42.95,00,8min,50mM,02,C4,0.016399999999999998
43.11666666666667,00,8min,50mM,02,C4,0.0165
43.266666666666666,00,8min,50mM,02,C4,0.0165
43.43333333333334,00,8min,50mM,02,C4,0.016299999999999995
43.6,00,8min,50mM,02,C4,0.016399999999999998
43.766666666666666,00,8min,50mM,02,C4,0.016399999999999998
43.93333333333334,00,8min,50mM,02,C4,0.016199999999999992
44.1,00,8min,50mM,02,C4,0.016399999999999998
44.266666666666666,00,8min,50mM,02,C4,0.016199999999999992
44.43333333333334,00,8min,50mM,02,C4,0.016199999999999992
44.6,00,8min,50mM,02,C4,0.016100000000000003
44.75,00,8min,50mM,02,C4,0.016100000000000003
44.91666666666667,00,8min,50mM,02,C4,0.0165
45.08333333333333,00,8min,50mM,02,C4,0.016399999999999998
45.25,00,8min,50mM,02,C4,0.0165
45.41666666666667,00,8min,50mM,02,C4,0.016299999999999995
45.58333333333333,00,8min,50mM,02,C4,0.016399999999999998
45.766666666666666,00,8min,50mM,02,C4,0.016399999999999998
45.93333333333334,00,8min,50mM,02,C4,0.016199999999999992
46.1,00,8min,50mM,02,C4,0.016299999999999995
46.266666666666666,00,8min,50mM,02,C4,0.0165
46.41666666666667,00,8min,50mM,02,C4,0.015899999999999997
46.58333333333333,00,8min,50mM,02,C4,0.016399999999999998
46.71666666666667,00,8min,50mM,02,C4,0.016299999999999995
46.88333333333333,00,8min,50mM,02,C4,0.016199999999999992
47.05,00,8min,50mM,02,C4,0.016199999999999992
47.21666666666667,00,8min,50mM,02,C4,0.016299999999999995
47.38333333333333,00,8min,50mM,02,C4,0.016100000000000003
47.55,00,8min,50mM,02,C4,0.016799999999999995
47.71666666666667,00,8min,50mM,02,C4,0.016299999999999995
